animal	tx	dose_ug	day	qpcr_plate	rna	pk_ug_g
A-1	PBS	0	D1	Plate 1	1.014952388	NA
A-2	PBS	0	D1	Plate 1	1.041300252	NA
A-3	PBS	0	D1	Plate 1	1.067667068	NA
A-4	PBS	0	D1	Plate 1	1.061473095	NA
A-5	PBS	0	D1	Plate 1	1.084811771	NA
A-6	PBS	0	D1	Plate 1	0.878545468	NA
G-1	PBS	0	D28	Plate 1	1.011748033	NA
G-2	PBS	0	D28	Plate 1	1.079330735	NA
G-3	PBS	0	D28	Plate 1	0.9977929038	NA
G-4	PBS	0	D28	Plate 1	1.024369205	NA
G-5	PBS	0	D28	Plate 1	0.9498753742	NA
G-6	PBS	0	D28	Plate 1	0.9616491469	NA
I-1	PBS	0	D42	Plate 1	0.8859182176	NA
I-2	PBS	0	D42	Plate 1	0.9814078179	NA
I-3	PBS	0	D42	Plate 1	1.018042453	NA
I-4	PBS	0	D42	Plate 1	0.9719077553	NA
I-5	PBS	0	D42	Plate 1	0.9692083162	NA
B-1	ASO N	118	D1	Plate 1	0.8845277987	4.605961905
B-2	ASO N	118	D1	Plate 1	0.9777831536	0.3290199747
B-3	ASO N	118	D1	Plate 1	0.7938712554	3.251045963
B-4	ASO N	118	D1	Plate 1	0.7447809815	3.676936245
B-5	ASO N	118	D1	Plate 1	0.8166557187	3.319189916
B-6	ASO N	118	D1	Plate 1	0.809271135	2.844214719
C-1	ASO N	118	D3	Plate 1	0.737547494	4.335627513
C-2	ASO N	118	D3	Plate 1	0.7145644207	2.815981982
C-3	ASO N	118	D3	Plate 1	0.8169840256	2.479498712
C-4	ASO N	118	D3	Plate 1	0.748492926	2.646141485
C-5	ASO N	118	D3	Plate 1	0.7650094066	2.346120024
C-6	ASO N	118	D3	Plate 1	0.7620981761	2.032904972
D-1	ASO N	118	D7	Plate 1	0.6585473131	3.14564335
D-2	ASO N	118	D7	Plate 1	0.5198653054	3.603493878
D-3	ASO N	118	D7	Plate 1	0.6041188374	2.916920548
D-4	ASO N	118	D7	Plate 1	0.5740351217	2.597797403
D-5	ASO N	118	D7	Plate 1	0.6832264344	2.252856153
D-6	ASO N	118	D7	Plate 1	0.6193114318	2.743194262
E-1	ASO N	118	D14	Plate 1	0.4580466592	3.12150664
E-2	ASO N	118	D14	Plate 1	0.476949855	2.933059908
E-3	ASO N	118	D14	Plate 1	0.5003612962	2.713281633
E-4	ASO N	118	D14	Plate 1	0.5225627497	2.667129751
E-5	ASO N	118	D14	Plate 1	0.5783458318	2.485189418
E-6	ASO N	118	D14	Plate 1	0.6087401577	2.022615904
F-1	ASO N	118	D21	Plate 1	0.6149966165	2.157257143
F-2	ASO N	118	D21	Plate 1	0.594460577	1.630863492
F-3	ASO N	118	D21	Plate 1	0.5278819505	2.100861324
F-4	ASO N	118	D21	Plate 1	0.4364786366	2.539077551
F-5	ASO N	118	D21	Plate 1	0.5399187785	1.584981818
F-6	ASO N	118	D21	Plate 1	0.5266762875	1.980660465
H-1	ASO N	118	D28	Plate 1	0.4905234798	2.443231169
H-2	ASO N	118	D28	Plate 1	0.5379436864	1.536647619
H-3	ASO N	118	D28	Plate 1	0.4681986604	1.895420061
H-4	ASO N	118	D28	Plate 1	0.6300381023	1.283193651
H-5	ASO N	118	D28	Plate 1	0.489040839	2.332095238
H-6	ASO N	118	D28	Plate 1	0.5760850246	1.682615873
J-1	ASO N	118	D42	Plate 1	0.5372489567	1.308038647
J-2	ASO N	118	D42	Plate 1	0.61414169	1.216948837
J-3	ASO N	118	D42	Plate 1	0.5711668823	1.290322351
J-4	ASO N	118	D42	Plate 1	0.4928824557	1.86845283
J-5	ASO N	118	D42	Plate 1	0.5800086622	1.307332653
J-6	ASO N	118	D42	Plate 1	0.6080428096	1.500650932
