sample	standard_curve	ngml_av	se_mean	flag
Mo Pos Hi QC	MoPrP16	182.498	1.951	
Mo Pos Lo QC	MoPrP16	38.535	0.468	
Mo Pos Mid QC	MoPrP16	102.726	1.453	
Mo Pos Neg QC	MoPrP16	17.693	0.173	
VL23-01 1	MoPrP16	6.634	0.181	
VL23-01 10	MoPrP16	13.214	0.245	
VL23-01 11	MoPrP16	50.2	2.324	
VL23-01 12	MoPrP16	5.713	0.556	
VL23-01 2	MoPrP16	3.396	0.606	
VL23-01 3	MoPrP16	6.992	0.539	
VL23-01 4	MoPrP16	5.12	0	LLQ
VL23-01 5	MoPrP16	6.543	0.273	
VL23-01 6	MoPrP16	5.12	0	LLQ
VL23-01 7	MoPrP16	47.149	0.291	
VL23-01 8	MoPrP16	24.186	0.988	
VL23-01 9	MoPrP16	48.457	0.436	
x	MoPrP16	81.899	28.612	
