sample	standard_curve	ngml_av	se_mean	flag
1	MoPrP16	131.747	0	
11	MoPrP16	43.834	3.548	
13	MoPrP16	46.683	0	
15	MoPrP16	57.478	0.84	
17	MoPrP16	42.44	0.358	
19	MoPrP16	126.838	3.989	
23	MoPrP16	119.468	2.153	
28	MoPrP16	54.606	0.339	
3	MoPrP16	109.144	0.154	
30	MoPrP16	52.56	1.026	
33	MoPrP16	58.486	0.168	
35	MoPrP16	59.317	2.006	
38	MoPrP16	147.994	5.214	
47	MoPrP16	85.887	1.897	
49	MoPrP16	72.943	2.748	
5	MoPrP16	125.305	1.535	
56	MoPrP16	91.872	1.883	
60	MoPrP16	113.309	2.775	
62	MoPrP16	137.724	0.459	
64	MoPrP16	111.614	0.772	
7	MoPrP16	51.706	0.172	
70	MoPrP16	127.299	1.688	
72	MoPrP16	135.579	0.46	
74	MoPrP16	121.466	0.154	
76	MoPrP16	93.91	0.469	
79	MoPrP16	123.923	0.154	
9	MoPrP16	68.24	0.326	
MoNeg	MoPrP16	3.923	0.174	
MoPosHiQC	MoPrP16	125.61	4.604	
MoPosLoQC	MoPrP16	24.7	1.618	
MoPosMidQC	MoPrP16	78.577	0.32	
