sample	standard_curve	ngml_av	se_mean	flag
10	MoPrP16	44.474	2.303	
12	MoPrP16	55.3	1.614	
14	MoPrP16	41.251	1.842	
16	MoPrP16	70.298	2.773	
18	MoPrP16	30.275	26.178	
2	MoPrP16	146.853	3.306	
20	MoPrP16	195.691	5.047	
22	MoPrP16	184.415	2.393	
26	MoPrP16	168.901	1.19	
29	MoPrP16	88.355	0.464	
34	MoPrP16	68.681	0.693	
4	MoPrP16	152.538	8.519	
44	MoPrP16	89.284	1.392	
46	MoPrP16	70.076	9.473	
48	MoPrP16	89.288	6.034	
50	MoPrP16	82.328	2.316	
58	MoPrP16	79.318	1.157	
59	MoPrP16	127.112	14.548	
6	MoPrP16	129.194	4.462	
61	MoPrP16	168.9	0.238	
63	MoPrP16	120.516	2.341	
65	MoPrP16	123.56	1.64	
71	MoPrP16	135.537	2.823	
73	MoPrP16	225.691	13.855	
75	MoPrP16	157.262	1.422	
78	MoPrP16	144.491	0.944	
8	MoPrP16	55.3	0.691	
MoNeg	MoPrP16	10.304	0.932	
MoPosHiQC	MoPrP16	151.106	1.419	
MoPosLoQC	MoPrP16	25.817	0.692	
MoPosMidQC	MoPrP16	70.298	1.386	
