animal	day	light	heavy
1	0	1.0896525951877756	NA
2	0	0.9928049788612867	NA
3	0	0.7236503305628175	NA
4	0	1.0592541854072277	NA
5	0	1.169885224541058	NA
6	0	0.9863996777486099	NA
7	0	1.307141662596769	NA
8	0	0.9704641907486183	NA
9	2	0.6186018044150845	0.11863223396713912
10	2	0.669658527513825	0.15465547265200447
11	2	0.5238945760907961	NA
12	2	0.605633940919343	0.23013041423534944
13	2	0.86316454666636655	NA
14	2	0.6792085180231808	0.11841559125956236
15	2	0.6325655325850441	0.12140340796756462
16	2	0.4417929082042385	0.11391037687347978
17	4	0.5920000410368409	0.21295654430329655
18	4	0.6386794547185045	0.17073166324755526
19	4	0.7070197497259306	0.46360116137471546
20	4	0.4103659350918399	0.3341904775453709
21	4	0.8370822057257801	0.48226808992530423
22	4	0.4770590049363209	0.21726730159931293
23	4	0.2335804365831853	NA
24	4	0.6366864303697993	0.2413646809599204
25	6	0.5080308757914918	0.3241147300276242
26	6	0.44733981297853453	0.3257177236334303
27	6	0.6161683935128627	0.45784034091339165
28	6	0.6116462001574428	0.5440781603571946
29	6	0.4074393187984299	0.203576234350473
30	6	0.6976317251300894	0.6261328999067958
31	6	0.741833162657009	0.5270299857549862
32	6	0.30912605507558616	0.22506797038740545
33	8	0.60411869831557	0.5292790337625118
34	8	0.253892390674743	0.14558292971192358
35	8	0.5479480612241223	0.375472207331938
36	8	0.40151145286762	0.5129946595325151
37	8	0.17321540189646856	0.16374326707666798
38	8	0.35617137654654624	0.36549354781633914
39	8	0.447604501080499	0.5617452250489291
40	8	0.40607647615139847	0.5957902844147144
