sample	standard_curve	ngml_av	se_mean	flag
118409.4	MoPrP18_Bi8H4020	188.178	12.015	
120978.1	MoPrP18_Bi8H4020	30.152	1.506	
121895.4	MoPrP18_Bi8H4020	24.6	0.121	
122956.3	MoPrP18_Bi8H4020	27.178	3.04	
122959.4	MoPrP18_Bi8H4020	30.69	0.585	
123672.4	MoPrP18_Bi8H4020	24.43	1.621	
123676.1	MoPrP18_Bi8H4020	193.243	11.704	
124008.3	MoPrP18_Bi8H4020	234.213	2.876	
124877.1	MoPrP18_Bi8H4020	31.575	0.27	
124878.3	MoPrP18_Bi8H4020	30.486	1.224	
125068.1	MoPrP18_Bi8H4020	23.832	1.431	
129703.1	MoPrP18_Bi8H4020	30.72	0.305	
136314.2	MoPrP18_Bi8H4020	74.726	0.98	
136315.1	MoPrP18_Bi8H4020	78.813	0.526	
136317.4	MoPrP18_Bi8H4020	51.447	2.998	
138072.1	MoPrP18_Bi8H4020	25.557	0.565	
138883.3	MoPrP18_Bi8H4020	50.761	2.131	
139180.4	MoPrP18_Bi8H4020	71.408	2.263	
139181.2	MoPrP18_Bi8H4020	79.023	0.158	
139185.2	MoPrP18_Bi8H4020	53.393	1.181	
69823.3	MoPrP18_Bi8H4020	244.151	6.744	
71636.2	MoPrP18_Bi8H4020	65.826	0.333	
72829.2	MoPrP18_Bi8H4020	33.554	0.739	
73523.4	MoPrP18_Bi8H4020	34.621	0.801	
MoNeg	MoPrP18_Bi8H4020	4.096	0	LLQ
MoPosHiQC	MoPrP18_Bi8H4020	37.37	2.34	
MoPosLoQC	MoPrP18_Bi8H4020	5.337	0.65	
MoPosMidQC	MoPrP18_Bi8H4020	14.91	0.448	
