gene	cortex	cerebellum
Fkbp3	2.87562449085287	2.88226723212634
Hmgcs1	2.89398747264095	2.84195701251087
Atxn2l	2.91767276067477	3.43530717871748
Arfgef3	2.92631268785461	3.67933238003864
Ssr1	2.92666866495578	2.89034401024237
Fkbp8	2.93512549471419	3.33308930318054
Glyr1	2.93784431841038	4.0603221671329
Nrdc	2.95306270926013	0.173472649425025
Dnaja1	2.9619261402937	3.05824577806585
Fam49a	2.98940830479296	NA
Rasgrf1	2.99953345452325	NA
Thrap3	3.00067577566637	5.38143965422227
Bzw1	3.00436113358989	3.08785410658429
Smc1a	3.0050458440333	5.91271658120053
Itfg1	3.00826193671081	3.55016048620254
Fam234b	3.0133490722274	NA
Map7d2	3.02742181695542	3.59183975913415
Zyg11b	3.0306377239691	3.49193329051444
Ak5	3.03292575378713	NA
Csde1	3.04749435851852	2.95669560410465
Kif5c	3.07111398327488	3.09164045566145
Nova1	3.0733219122466	5.20188410008507
Klc1	3.07677733024989	3.25551169635955
Sub1	3.07846509812758	6.95432920731171
Xpo5	3.10159417406076	5.37214007871008
Elavl4	3.10789265267634	NA
Lrpap1	3.11747670236618	3.91751577146078
Ptk2b	3.12124944763962	NA
Eif5b	3.1444884662688	3.67926766990992
Sec23ip	3.14708835536442	4.37580879932788
Sumo2	3.14830402971894	5.35638371916535
Eif4a2	3.15080979308117	3.62611664267923
Prpf8	3.16728270490149	3.78901042010334
Gucy1a1	3.1677627578312	4.13867291954747
Eif4a1	3.16811311612427	3.13473263624783
Mtmr9	3.17784906438348	3.0155220770577
Tmx4	3.18146119335907	2.96919519731948
Arglu1	3.18179405908306	5.9566776658769
Ntrk2	3.18668509356664	34.5822211775546
Eif3i	3.19890202590963	3.45086504156537
Ddx17	3.20896799632835	5.45370932915682
Setd3	3.21355308515655	5.55039182476183
Eef2	3.22195420945398	3.3615228581113
Usp47	3.22836984838129	2.56570880294995
Nenf	3.2398958223069	3.24981082179386
Vti1b	3.27692910324448	3.70150367034105
Cbx3	3.28078741613564	6.84362734109417
Ktn1	3.30127800798284	3.2500129481871
Osbpl5	3.30589177381606	NA
