animal_id	genotype	labeled
113412.1	C57BL/6N	yes
113412.2	C57BL/6N	yes
113412.3	C57BL/6N	yes
118273.1	C57BL/6N	yes
118289.1	C57BL/6N	yes
113413.1	C57BL/6N	yes
114867.1	ZH3/+	yes
114867.2	ZH3/+	yes
114867.3	ZH3/+	yes
114868.1	ZH3/+	yes
114868.2	ZH3/+	yes
114868.3	ZH3/+	yes
113401.1	Tga20 het	yes
113401.2	Tga20 het	yes
113401.3	Tga20 het	yes
113405.1	Tga20 het	yes
113405.2	Tga20 het	yes
113405.3	Tga20 het	yes
114894.2	Tg25109 het; ZH3/ZH3	yes
114894.3	Tg25109 het; ZH3/ZH3	yes
114894.5	Tg25109 het; ZH3/ZH3	yes
114890.2	Tg25109 het; ZH3/ZH3	yes
114890.3	Tg25109 het; ZH3/ZH3	yes
115293.1	Tg25109 het; ZH3/ZH3	yes
114867.4	ZH3/+	no
113404.1	Tga20 het	no
114878.1	Tg25109 het; ZH3/ZH3	no
116331.1	C57BL/6N	no
121896.2	Ki7801	no
