tx	day	rna_mean	rna_l95	rna_u95	prp_mean	prp_l95	prp_u95
ASO6	1	0.4580020035	0.4168707896501289	0.49913321734987104	1.001015592267721	0.8271412418121933	1.1748899427232489
ASO6	3	0.32246737366666667	0.3120180976624451	0.33291664967088824	0.8654187639732254	0.7773748680802721	0.9534626598661786
ASO6	7	0.35430564566666667	0.323563277445549	0.3850480138877843	0.8348296947416831	0.6581419083128386	1.0115174811705276
ASO6	10	0.32665204933333336	0.3112055527070041	0.3420985459596626	0.5474130483426426	0.48213397306439204	0.6126921236208931
ASO6	14	0.2732072925	0.25288692288224984	0.2935276621177501	0.4564543021758005	0.41867528708635793	0.4942333172652431
ASO6	21	0.297535251	0.28138510265301636	0.31368539934698364	0.3378450816287103	0.2551905689724473	0.4204995942849733
ASO6	28	0.28209813733333333	0.25561110385899255	0.3085851708076741	0.3739879981374787	0.30102886380915733	0.44694713246580003
